pruning,max_depth,red_start_x,red_start_y,blue_start_x,blue_start_y,red_end_x,red_end_y,blue_end_x,blue_end_y,num_moves,total_time,avg_time,winner
TRUE,5,8,7,11,4,15,7,17,5,15,1.482232809,0.098815521,Team.RED
TRUE,5,3,8,16,1,1,6,2,4,38,5.679917574,0.149471515,
TRUE,5,4,5,12,1,19,9,19,8,31,3.793944836,0.122385317,Team.RED
TRUE,5,9,3,12,7,3,5,5,7,16,2.501328468,0.156333029,Team.BLUE
TRUE,5,7,6,17,7,14,8,18,8,20,3.141145706,0.157057285,
TRUE,5,8,4,12,10,18,4,19,6,29,4.467096329,0.154037804,
TRUE,5,1,12,17,7,2,8,6,8,29,3.700648308,0.127608562,
TRUE,5,5,5,16,12,14,8,18,8,24,3.41633153,0.142347147,
TRUE,5,8,6,14,6,18,4,19,6,29,4.972247124,0.171456797,
TRUE,5,9,6,16,5,18,4,19,6,27,4.449608088,0.1648003,
TRUE,5,5,5,12,6,2,8,6,8,19,3.220603943,0.169505471,
TRUE,5,4,4,12,7,2,8,6,8,19,3.209419012,0.16891679,
TRUE,5,5,3,12,3,2,8,6,8,23,4.010787725,0.174382075,
TRUE,5,7,11,16,1,17,11,19,10,45,7.299209595,0.162204658,
TRUE,5,5,11,13,11,2,8,6,8,23,3.828640461,0.166462629,
TRUE,5,2,8,18,4,18,4,19,6,41,5.656107426,0.13795384,
TRUE,5,9,5,12,12,15,7,17,10,15,1.672555685,0.111503712,Team.RED
TRUE,5,7,5,15,9,14,8,18,8,20,3.223420382,0.161171019,
TRUE,5,3,9,12,4,2,8,6,8,21,3.456827641,0.16461084,
TRUE,5,2,3,12,8,1,6,2,4,30,5.069254637,0.168975155,
TRUE,5,4,9,17,1,14,8,18,8,26,3.549033165,0.136501276,
TRUE,5,5,12,17,8,18,4,19,6,35,5.624825716,0.160709306,
TRUE,5,8,1,13,11,3,5,5,7,20,3.235134363,0.161756718,Team.BLUE
TRUE,5,3,10,16,1,1,6,2,4,38,5.915327787,0.155666521,
TRUE,5,7,4,15,1,17,11,19,10,41,6.872259378,0.167616082,
TRUE,5,4,10,17,3,14,8,18,8,26,3.561687231,0.13698797,
TRUE,5,8,10,17,1,17,11,19,10,43,7.104653835,0.165224508,
TRUE,2,6,4,11,1,15,7,15,5,19,0.051711321,0.002721648,Team.RED
TRUE,2,3,2,11,9,4,7,12,7,77,0.387989521,0.005038825,
TRUE,2,2,8,18,4,4,7,12,7,91,0.387767792,0.004261185,
TRUE,2,2,10,14,10,4,7,12,7,81,0.320171118,0.00395273,
TRUE,2,5,6,17,1,9,7,17,7,79,0.319146156,0.004039825,
TRUE,2,3,10,12,5,4,7,12,7,77,0.365025997,0.004740597,
TRUE,2,6,6,15,7,13,7,16,7,70,0.363026619,0.005186095,
TRUE,2,5,3,12,3,9,7,17,7,81,0.332078934,0.00409974,
TRUE,2,1,4,17,3,4,7,12,7,87,0.353055954,0.004058114,
TRUE,2,9,12,18,3,10,7,14,7,65,0.23838973,0.003667534,
TRUE,2,4,4,17,7,13,7,16,7,74,0.280253649,0.003787211,
TRUE,2,1,7,14,1,6,7,10,7,69,0.251593828,0.003646287,
TRUE,2,3,4,15,1,9,7,17,7,85,0.368001699,0.004329432,
TRUE,2,7,3,12,7,4,6,5,7,16,0.040890932,0.002555683,Team.BLUE
TRUE,2,9,2,16,3,13,7,16,7,72,0.299198866,0.00415554,
TRUE,2,9,4,14,2,15,7,16,6,17,0.0458498,0.002697047,Team.RED
TRUE,2,9,4,18,4,10,7,15,7,62,0.236340284,0.00381194,
TRUE,2,4,1,15,9,10,7,15,7,70,0.261280537,0.003732579,
TRUE,2,3,11,17,8,4,7,12,7,89,0.376993656,0.004235884,
TRUE,2,3,4,14,6,6,7,10,7,65,0.23436904,0.003605678,
TRUE,2,8,9,15,4,13,7,16,7,66,0.339094639,0.005137798,
TRUE,2,3,11,13,2,4,7,12,7,83,0.442898273,0.005336124,
TRUE,2,8,6,18,7,9,7,17,7,73,0.288256407,0.003948718,
TRUE,2,5,3,13,1,15,7,16,5,21,0.052858829,0.002517087,Team.RED
TRUE,2,5,3,16,3,13,7,16,7,72,0.272291422,0.003781825,
TRUE,2,3,5,17,3,4,7,12,7,89,0.373997688,0.004202221,
TRUE,2,2,5,15,8,6,7,10,7,67,0.244347095,0.003646972,
TRUE,2,2,3,18,10,4,7,12,7,91,0.393950462,0.004329126,
TRUE,2,2,3,18,10,4,7,12,7,91,0.425375938,0.004674461,
TRUE,2,5,7,16,10,13,7,16,7,72,0.27230072,0.003781954,
TRUE,2,3,5,11,10,4,7,12,7,79,0.355027199,0.004494015,
TRUE,2,2,11,17,6,9,7,17,7,87,0.367025614,0.004218685,
TRUE,2,9,8,14,11,4,7,12,7,93,0.400928497,0.004311059,
TRUE,2,3,9,18,6,13,7,16,7,76,0.290184736,0.00381822,
TRUE,2,7,2,12,2,15,7,15,6,21,0.056848049,0.00270705,Team.RED
TRUE,2,8,4,16,11,13,7,16,7,68,0.271275043,0.003989339,
TRUE,2,1,10,12,10,4,7,12,7,79,0.319180727,0.004040262,
TRUE,2,4,7,14,5,4,7,12,7,81,0.371977091,0.00459231,
TRUE,2,8,7,14,7,9,7,17,7,73,0.27626133,0.003784402,
